code,item,cost,type
01SV-001,Ordinary Service I 常规保养I,450,Ordinary Service常规保养
01SV-001-01,Replace engine oil 更换发动机机油,-,Ordinary Service常规保养
01SV-001-02,Replace oil filter 更换机油滤芯,-,Ordinary Service常规保养
01SV-001-03,Replace air filter 更换空气滤芯,-,Ordinary Service常规保养
01SV-001-04,Clean air filter 清洁空气滤芯,-,Ordinary Service常规保养
01SV-001-05,Replace A/C filter 更换空调滤芯,-,Ordinary Service常规保养
01SV-001-06,Clean A/C filter 清洁空调滤芯,-,Ordinary Service常规保养
01SV-001-07,"Service reset & clear the fault codes
保养重置/复位及清码",-,Ordinary Service常规保养
01SV-002,Ordinary Service II 常规保养II,580,Ordinary Service常规保养
01SV-003,Ordinary Service III 常规保养III,880,Ordinary Service常规保养
02EN-001,Top up engine oil 补充机油,0,oil 机油
02EN-002,Check for the oil leakage 检查漏油,200,leakage 漏油
02EN-003,Repair the engine oil leakage 维修发动机漏油,200,leakage 漏油
02EN-004,Remove to clean oil sump and fit it back 拆装清洗油底壳,200,oil sump 油底壳
02EN-005,Remove to clean the oil strainer and fit it back 拆装清洗机油滤网,350,oil sump 油底壳
02EN-006,Seal the oil sump 油底壳打胶密封,350,oil sump 油底壳
02EN-007,Replace draining plug 更换油底壳螺丝,350,oil sump 油底壳
02EN-008,Replace the oil sump screw washer 更换油底壳螺丝垫片,350,oil sump 油底壳
02EN-009,Repair the oil sump 维修油底壳,100,oil sump 油底壳
02EN-010,Clean the diesel filter 清洗柴油滤芯  ,100,fuel filter燃油滤芯
02EN-011,Replace the diesel filter 更换柴油滤芯  ,100,fuel filter燃油滤芯
02EN-012,Replace the petrol filter 更换汽油滤芯 ,100,fuel filter燃油滤芯
02EN-013,Clean the fuel filter shell 清洗燃油滤芯壳子,100,fuel filter燃油滤芯
02EN-014,Replace the fuel filter 更换燃油滤芯,100,fuel filter燃油滤芯
02EN-015,Replace the inner fuel filter 更换内置燃油过滤器,350,fuel filter燃油滤芯
02EN-016,Remove to clean the throttle body and fit it back 拆装清洗节气门总成,350,throttle 节气门
02EN-017,Replace the throttle body complete 更换节气门总成,180,throttle 节气门
02EN-018,Remove to test the injectors and fit them back 拆装检测喷油嘴,180,injectors 喷油嘴
02EN-019,Remove to clean the injectiors and fit them back 拆装清洗喷油嘴,180,injectors 喷油嘴
02EN-020,Test the injector nozzles with machine 检测喷油嘴,180,injectors 喷油嘴
02EN-021,Calibration of the injector nozzles 调校喷油嘴,180,injectors 喷油嘴
02EN-022,Repair the injector nozzles 维修喷油嘴,180,injectors 喷油嘴
02EN-023,Replace the injector nozzles 更换喷油嘴,500,injectors 喷油嘴
02EN-024,Replace the gasket nozzle holder 更换喷油嘴胶圈,500,injectors 喷油嘴
02EN-025,Replace seals nozzle holder 更换喷油嘴进油管油封,150,injectors 喷油嘴
02EN-026,Replace washers of injector fuel pipe 更换喷油嘴回油管垫片,150,injectors 喷油嘴
02EN-027,Replace the screw of injector fuel pipe 更换喷油嘴油管螺丝,180,injectors 喷油嘴
02EN-028,Replace the injector driver 更换喷油嘴驱动板,180,injectors 喷油嘴
02EN-029,Brazing the injector fuel pipe 喷油嘴回油管焊接,350,fuel pipe 油管
02EN-030,Repair the fuel return pipe 维修回油管,350,fuel pipe 油管
